"date","year","month","co2_ppm","decade"
1958-03-01,1958,3,315.7,"1950's"
1958-04-01,1958,4,317.45,"1950's"
1958-05-01,1958,5,317.51,"1950's"
1958-06-01,1958,6,317.24,"1950's"
1958-07-01,1958,7,315.86,"1950's"
1958-08-01,1958,8,314.93,"1950's"
1958-09-01,1958,9,313.2,"1950's"
1958-10-01,1958,10,312.43,"1950's"
1958-11-01,1958,11,313.33,"1950's"
1958-12-01,1958,12,314.67,"1950's"
1959-01-01,1959,1,315.58,"1950's"
1959-02-01,1959,2,316.48,"1950's"
1959-03-01,1959,3,316.65,"1950's"
1959-04-01,1959,4,317.72,"1950's"
1959-05-01,1959,5,318.29,"1950's"
1959-06-01,1959,6,318.15,"1950's"
1959-07-01,1959,7,316.54,"1950's"
1959-08-01,1959,8,314.8,"1950's"
1959-09-01,1959,9,313.84,"1950's"
1959-10-01,1959,10,313.33,"1950's"
1959-11-01,1959,11,314.81,"1950's"
1959-12-01,1959,12,315.58,"1950's"
1960-01-01,1960,1,316.43,"1960's"
1960-02-01,1960,2,316.98,"1960's"
1960-03-01,1960,3,317.58,"1960's"
1960-04-01,1960,4,319.03,"1960's"
1960-05-01,1960,5,320.04,"1960's"
1960-06-01,1960,6,319.59,"1960's"
1960-07-01,1960,7,318.18,"1960's"
1960-08-01,1960,8,315.9,"1960's"
1960-09-01,1960,9,314.17,"1960's"
1960-10-01,1960,10,313.83,"1960's"
1960-11-01,1960,11,315,"1960's"
1960-12-01,1960,12,316.19,"1960's"
1961-01-01,1961,1,316.89,"1960's"
1961-02-01,1961,2,317.7,"1960's"
1961-03-01,1961,3,318.54,"1960's"
1961-04-01,1961,4,319.48,"1960's"
1961-05-01,1961,5,320.58,"1960's"
1961-06-01,1961,6,319.77,"1960's"
1961-07-01,1961,7,318.57,"1960's"
1961-08-01,1961,8,316.79,"1960's"
1961-09-01,1961,9,314.99,"1960's"
1961-10-01,1961,10,315.31,"1960's"
1961-11-01,1961,11,316.1,"1960's"
1961-12-01,1961,12,317.01,"1960's"
1962-01-01,1962,1,317.94,"1960's"
1962-02-01,1962,2,318.55,"1960's"
1962-03-01,1962,3,319.68,"1960's"
1962-04-01,1962,4,320.57,"1960's"
1962-05-01,1962,5,321.02,"1960's"
1962-06-01,1962,6,320.62,"1960's"
1962-07-01,1962,7,319.61,"1960's"
1962-08-01,1962,8,317.4,"1960's"
1962-09-01,1962,9,316.25,"1960's"
1962-10-01,1962,10,315.42,"1960's"
1962-11-01,1962,11,316.69,"1960's"
1962-12-01,1962,12,317.7,"1960's"
1963-01-01,1963,1,318.74,"1960's"
1963-02-01,1963,2,319.07,"1960's"
1963-03-01,1963,3,319.86,"1960's"
1963-04-01,1963,4,321.38,"1960's"
1963-05-01,1963,5,322.25,"1960's"
1963-06-01,1963,6,321.48,"1960's"
1963-07-01,1963,7,319.74,"1960's"
1963-08-01,1963,8,317.77,"1960's"
1963-09-01,1963,9,316.21,"1960's"
1963-10-01,1963,10,315.99,"1960's"
1963-11-01,1963,11,317.07,"1960's"
1963-12-01,1963,12,318.35,"1960's"
1964-01-01,1964,1,319.57,"1960's"
1964-02-01,1964,2,320.01,"1960's"
1964-03-01,1964,3,320.74,"1960's"
1964-04-01,1964,4,321.84,"1960's"
1964-05-01,1964,5,322.26,"1960's"
1964-06-01,1964,6,321.89,"1960's"
1964-07-01,1964,7,320.44,"1960's"
1964-08-01,1964,8,318.69,"1960's"
1964-09-01,1964,9,316.7,"1960's"
1964-10-01,1964,10,316.87,"1960's"
1964-11-01,1964,11,317.68,"1960's"
1964-12-01,1964,12,318.71,"1960's"
1965-01-01,1965,1,319.44,"1960's"
1965-02-01,1965,2,320.44,"1960's"
1965-03-01,1965,3,320.89,"1960's"
1965-04-01,1965,4,322.14,"1960's"
1965-05-01,1965,5,322.17,"1960's"
1965-06-01,1965,6,321.87,"1960's"
