"","date","year","month","co2_ppm","trend","decade","year_of_decade","date_scale"
"1",1958-03-01,1958,3,315.7,314.43,"1950's",8,1966-03-01
"2",1958-04-01,1958,4,317.45,315.16,"1950's",8,1966-04-01
"3",1958-05-01,1958,5,317.51,314.71,"1950's",8,1966-05-01
"4",1958-06-01,1958,6,317.24,315.14,"1950's",8,1966-06-01
"5",1958-07-01,1958,7,315.86,315.18,"1950's",8,1966-07-01
"6",1958-08-01,1958,8,314.93,316.18,"1950's",8,1966-08-01
"7",1958-09-01,1958,9,313.2,316.08,"1950's",8,1966-09-01
"8",1958-10-01,1958,10,312.43,315.41,"1950's",8,1966-10-01
"9",1958-11-01,1958,11,313.33,315.2,"1950's",8,1966-11-01
"10",1958-12-01,1958,12,314.67,315.43,"1950's",8,1966-12-01
"11",1959-01-01,1959,1,315.58,315.55,"1950's",9,1967-01-01
"12",1959-02-01,1959,2,316.48,315.86,"1950's",9,1967-02-01
"13",1959-03-01,1959,3,316.65,315.38,"1950's",9,1967-03-01
"14",1959-04-01,1959,4,317.72,315.41,"1950's",9,1967-04-01
"15",1959-05-01,1959,5,318.29,315.49,"1950's",9,1967-05-01
"16",1959-06-01,1959,6,318.15,316.03,"1950's",9,1967-06-01
"17",1959-07-01,1959,7,316.54,315.86,"1950's",9,1967-07-01
"18",1959-08-01,1959,8,314.8,316.06,"1950's",9,1967-08-01
"19",1959-09-01,1959,9,313.84,316.73,"1950's",9,1967-09-01
"20",1959-10-01,1959,10,313.33,316.33,"1950's",9,1967-10-01
"21",1959-11-01,1959,11,314.81,316.68,"1950's",9,1967-11-01
"22",1959-12-01,1959,12,315.58,316.35,"1950's",9,1967-12-01
"23",1960-01-01,1960,1,316.43,316.4,"1960's",0,1958-01-01
"24",1960-02-01,1960,2,316.98,316.36,"1960's",0,1958-02-01
"25",1960-03-01,1960,3,317.58,316.28,"1960's",0,1958-03-01
"26",1960-04-01,1960,4,319.03,316.7,"1960's",0,1958-04-01
"27",1960-05-01,1960,5,320.04,317.22,"1960's",0,1958-05-01
"28",1960-06-01,1960,6,319.59,317.47,"1960's",0,1958-06-01
"29",1960-07-01,1960,7,318.18,317.52,"1960's",0,1958-07-01
"30",1960-08-01,1960,8,315.9,317.19,"1960's",0,1958-08-01
"31",1960-09-01,1960,9,314.17,317.08,"1960's",0,1958-09-01
"32",1960-10-01,1960,10,313.83,316.83,"1960's",0,1958-10-01
"33",1960-11-01,1960,11,315,316.88,"1960's",0,1958-11-01
"34",1960-12-01,1960,12,316.19,316.96,"1960's",0,1958-12-01
"35",1961-01-01,1961,1,316.89,316.86,"1960's",1,1959-01-01
"36",1961-02-01,1961,2,317.7,317.08,"1960's",1,1959-02-01
"37",1961-03-01,1961,3,318.54,317.26,"1960's",1,1959-03-01
"38",1961-04-01,1961,4,319.48,317.16,"1960's",1,1959-04-01
"39",1961-05-01,1961,5,320.58,317.76,"1960's",1,1959-05-01
"40",1961-06-01,1961,6,319.77,317.63,"1960's",1,1959-06-01
"41",1961-07-01,1961,7,318.57,317.88,"1960's",1,1959-07-01
"42",1961-08-01,1961,8,316.79,318.06,"1960's",1,1959-08-01
"43",1961-09-01,1961,9,314.99,317.9,"1960's",1,1959-09-01
"44",1961-10-01,1961,10,315.31,318.32,"1960's",1,1959-10-01
"45",1961-11-01,1961,11,316.1,317.99,"1960's",1,1959-11-01
"46",1961-12-01,1961,12,317.01,317.79,"1960's",1,1959-12-01
"47",1962-01-01,1962,1,317.94,317.91,"1960's",2,1960-01-01
"48",1962-02-01,1962,2,318.55,317.92,"1960's",2,1960-02-01
"49",1962-03-01,1962,3,319.68,318.39,"1960's",2,1960-03-01
"50",1962-04-01,1962,4,320.57,318.24,"1960's",2,1960-04-01
"51",1962-05-01,1962,5,321.02,318.18,"1960's",2,1960-05-01
"52",1962-06-01,1962,6,320.62,318.47,"1960's",2,1960-06-01
"53",1962-07-01,1962,7,319.61,318.92,"1960's",2,1960-07-01
"54",1962-08-01,1962,8,317.4,318.68,"1960's",2,1960-08-01
"55",1962-09-01,1962,9,316.25,319.17,"1960's",2,1960-09-01
"56",1962-10-01,1962,10,315.42,318.45,"1960's",2,1960-10-01
"57",1962-11-01,1962,11,316.69,318.58,"1960's",2,1960-11-01
"58",1962-12-01,1962,12,317.7,318.47,"1960's",2,1960-12-01
"59",1963-01-01,1963,1,318.74,318.7,"1960's",3,1961-01-01
"60",1963-02-01,1963,2,319.07,318.44,"1960's",3,1961-02-01
"61",1963-03-01,1963,3,319.86,318.57,"1960's",3,1961-03-01
"62",1963-04-01,1963,4,321.38,319.05,"1960's",3,1961-04-01
"63",1963-05-01,1963,5,322.25,319.4,"1960's",3,1961-05-01
"64",1963-06-01,1963,6,321.48,319.32,"1960's",3,1961-06-01
"65",1963-07-01,1963,7,319.74,319.05,"1960's",3,1961-07-01
"66",1963-08-01,1963,8,317.77,319.05,"1960's",3,1961-08-01
"67",1963-09-01,1963,9,316.21,319.14,"1960's",3,1961-09-01
"68",1963-10-01,1963,10,315.99,319.02,"1960's",3,1961-10-01
"69",1963-11-01,1963,11,317.07,318.97,"1960's",3,1961-11-01
"70",1963-12-01,1963,12,318.35,319.13,"1960's",3,1961-12-01
"71",1964-01-01,1964,1,319.57,319.54,"1960's",4,1962-01-01
"72",1964-02-01,1964,2,320.01,319.37,"1960's",4,1962-02-01
"73",1964-03-01,1964,3,320.74,319.41,"1960's",4,1962-03-01
"74",1964-04-01,1964,4,321.84,319.45,"1960's",4,1962-04-01
"75",1964-05-01,1964,5,322.26,319.4,"1960's",4,1962-05-01
"76",1964-06-01,1964,6,321.89,319.75,"1960's",4,1962-06-01
"77",1964-07-01,1964,7,320.44,319.77,"1960's",4,1962-07-01
"78",1964-08-01,1964,8,318.69,320,"1960's",4,1962-08-01
"79",1964-09-01,1964,9,316.7,319.66,"1960's",4,1962-09-01
"80",1964-10-01,1964,10,316.87,319.91,"1960's",4,1962-10-01
"81",1964-11-01,1964,11,317.68,319.58,"1960's",4,1962-11-01
"82",1964-12-01,1964,12,318.71,319.49,"1960's",4,1962-12-01
"83",1965-01-01,1965,1,319.44,319.4,"1960's",5,1963-01-01
"84",1965-02-01,1965,2,320.44,319.81,"1960's",5,1963-02-01
"85",1965-03-01,1965,3,320.89,319.59,"1960's",5,1963-03-01
"86",1965-04-01,1965,4,322.14,319.78,"1960's",5,1963-04-01
"87",1965-05-01,1965,5,322.17,319.3,"1960's",5,1963-05-01
"88",1965-06-01,1965,6,321.87,319.7,"1960's",5,1963-06-01
"89",1965-07-01,1965,7,321.21,320.51,"1960's",5,1963-07-01
"90",1965-08-01,1965,8,318.87,320.15,"1960's",5,1963-08-01
"91",1965-09-01,1965,9,317.81,320.77,"1960's",5,1963-09-01
"92",1965-10-01,1965,10,317.3,320.36,"1960's",5,1963-10-01
"93",1965-11-01,1965,11,318.87,320.78,"1960's",5,1963-11-01
"94",1965-12-01,1965,12,319.42,320.2,"1960's",5,1963-12-01
"95",1966-01-01,1966,1,320.62,320.59,"1960's",6,1964-01-01
"96",1966-02-01,1966,2,321.6,320.96,"1960's",6,1964-02-01
"97",1966-03-01,1966,3,322.39,321.08,"1960's",6,1964-03-01
"98",1966-04-01,1966,4,323.7,321.34,"1960's",6,1964-04-01
"99",1966-05-01,1966,5,324.08,321.2,"1960's",6,1964-05-01
"100",1966-06-01,1966,6,323.75,321.57,"1960's",6,1964-06-01
"101",1966-07-01,1966,7,322.38,321.68,"1960's",6,1964-07-01
"102",1966-08-01,1966,8,320.36,321.65,"1960's",6,1964-08-01
"103",1966-09-01,1966,9,318.64,321.6,"1960's",6,1964-09-01
"104",1966-10-01,1966,10,318.1,321.17,"1960's",6,1964-10-01
"105",1966-11-01,1966,11,319.78,321.7,"1960's",6,1964-11-01
"106",1966-12-01,1966,12,321.03,321.81,"1960's",6,1964-12-01
