"","date","year","month","day","co2_ppm","decade","year_of_decade","date_scale"
"1",1974-05-19,1974,5,19,333.37,"1970's",4,1978-05-19
"2",1974-05-26,1974,5,26,332.95,"1970's",4,1978-05-26
"3",1974-06-02,1974,6,2,332.35,"1970's",4,1978-06-02
"4",1974-06-09,1974,6,9,332.2,"1970's",4,1978-06-09
"5",1974-06-16,1974,6,16,332.37,"1970's",4,1978-06-16
"6",1974-06-23,1974,6,23,331.73,"1970's",4,1978-06-23
"7",1974-06-30,1974,6,30,331.68,"1970's",4,1978-06-30
"8",1974-07-07,1974,7,7,331.46,"1970's",4,1978-07-07
"9",1974-07-14,1974,7,14,330.83,"1970's",4,1978-07-14
"10",1974-07-21,1974,7,21,330.76,"1970's",4,1978-07-21
"11",1974-07-28,1974,7,28,329.8,"1970's",4,1978-07-28
"12",1974-08-04,1974,8,4,329.85,"1970's",4,1978-08-04
"13",1974-08-11,1974,8,11,329.15,"1970's",4,1978-08-11
"14",1974-08-18,1974,8,18,329.06,"1970's",4,1978-08-18
"15",1974-08-25,1974,8,25,328.33,"1970's",4,1978-08-25
"16",1974-09-01,1974,9,1,328.06,"1970's",4,1978-09-01
"17",1974-09-08,1974,9,8,327.56,"1970's",4,1978-09-08
"18",1974-09-15,1974,9,15,326.72,"1970's",4,1978-09-15
"19",1974-09-22,1974,9,22,326.99,"1970's",4,1978-09-22
"20",1974-09-29,1974,9,29,327.31,"1970's",4,1978-09-29
"21",1974-10-06,1974,10,6,327.07,"1970's",4,1978-10-06
"22",1974-10-13,1974,10,13,327.23,"1970's",4,1978-10-13
"23",1974-10-20,1974,10,20,327.4,"1970's",4,1978-10-20
"24",1974-10-27,1974,10,27,327.64,"1970's",4,1978-10-27
"25",1974-11-03,1974,11,3,327.8,"1970's",4,1978-11-03
"26",1974-11-10,1974,11,10,328.5,"1970's",4,1978-11-10
"27",1974-11-17,1974,11,17,328.61,"1970's",4,1978-11-17
"28",1974-11-24,1974,11,24,328.46,"1970's",4,1978-11-24
"29",1974-12-01,1974,12,1,328.8,"1970's",4,1978-12-01
"30",1974-12-08,1974,12,8,329.39,"1970's",4,1978-12-08
"31",1974-12-15,1974,12,15,329.78,"1970's",4,1978-12-15
"32",1974-12-22,1974,12,22,329.96,"1970's",4,1978-12-22
"33",1974-12-29,1974,12,29,330.38,"1970's",4,1978-12-29
"34",1975-01-05,1975,1,5,330.49,"1970's",5,1979-01-05
"35",1975-01-12,1975,1,12,330.59,"1970's",5,1979-01-12
"36",1975-01-19,1975,1,19,330.79,"1970's",5,1979-01-19
"37",1975-01-26,1975,1,26,331.24,"1970's",5,1979-01-26
"38",1975-02-02,1975,2,2,331.64,"1970's",5,1979-02-02
"39",1975-02-09,1975,2,9,331.11,"1970's",5,1979-02-09
"40",1975-02-16,1975,2,16,331.42,"1970's",5,1979-02-16
"41",1975-02-23,1975,2,23,331.96,"1970's",5,1979-02-23
"42",1975-03-02,1975,3,2,331.77,"1970's",5,1979-03-02
"43",1975-03-09,1975,3,9,331.64,"1970's",5,1979-03-09
"44",1975-03-16,1975,3,16,332.11,"1970's",5,1979-03-16
"45",1975-03-23,1975,3,23,331.9,"1970's",5,1979-03-23
"46",1975-03-30,1975,3,30,333.3,"1970's",5,1979-03-30
"47",1975-04-06,1975,4,6,332.78,"1970's",5,1979-04-06
"48",1975-04-13,1975,4,13,333.16,"1970's",5,1979-04-13
"49",1975-04-20,1975,4,20,333.28,"1970's",5,1979-04-20
"50",1975-04-27,1975,4,27,333.48,"1970's",5,1979-04-27
"51",1975-05-04,1975,5,4,333.94,"1970's",5,1979-05-04
"52",1975-05-11,1975,5,11,334.25,"1970's",5,1979-05-11
"53",1975-05-18,1975,5,18,333.46,"1970's",5,1979-05-18
"54",1975-05-25,1975,5,25,334,"1970's",5,1979-05-25
"55",1975-06-01,1975,6,1,333.96,"1970's",5,1979-06-01
"56",1975-06-08,1975,6,8,333.19,"1970's",5,1979-06-08
"57",1975-06-15,1975,6,15,333.23,"1970's",5,1979-06-15
"58",1975-06-22,1975,6,22,333.5,"1970's",5,1979-06-22
"59",1975-06-29,1975,6,29,333.01,"1970's",5,1979-06-29
"60",1975-07-06,1975,7,6,332.32,"1970's",5,1979-07-06
"61",1975-07-13,1975,7,13,331.83,"1970's",5,1979-07-13
"62",1975-07-20,1975,7,20,331.36,"1970's",5,1979-07-20
"63",1975-07-27,1975,7,27,331.22,"1970's",5,1979-07-27
"64",1975-08-03,1975,8,3,331.01,"1970's",5,1979-08-03
"65",1975-08-10,1975,8,10,330.38,"1970's",5,1979-08-10
"66",1975-08-17,1975,8,17,329.48,"1970's",5,1979-08-17
"67",1975-08-24,1975,8,24,328.73,"1970's",5,1979-08-24
"68",1975-08-31,1975,8,31,329.32,"1970's",5,1979-08-31
"69",1975-09-07,1975,9,7,329.42,"1970's",5,1979-09-07
"70",1975-09-14,1975,9,14,327.94,"1970's",5,1979-09-14
"71",1975-09-21,1975,9,21,327.95,"1970's",5,1979-09-21
"72",1975-09-28,1975,9,28,327.97,"1970's",5,1979-09-28
"73",1975-10-05,1975,10,5,328.08297816483,"1970's",5,1979-10-05
"74",1975-10-12,1975,10,12,328.4,"1970's",5,1979-10-12
"75",1975-10-19,1975,10,19,328.73,"1970's",5,1979-10-19
"76",1975-10-26,1975,10,26,328.8,"1970's",5,1979-10-26
"77",1975-11-02,1975,11,2,329.03,"1970's",5,1979-11-02
"78",1975-11-09,1975,11,9,329.01,"1970's",5,1979-11-09
"79",1975-11-16,1975,11,16,329.21,"1970's",5,1979-11-16
"80",1975-11-23,1975,11,23,330.18,"1970's",5,1979-11-23
"81",1975-11-30,1975,11,30,329.72,"1970's",5,1979-11-30
