"date","incidence","status","outcome"
2021-04-04,21.02451063,"fully vaccinated","case"
2021-04-11,18.52872443,"fully vaccinated","case"
2021-04-18,16.66126192,"fully vaccinated","case"
2021-04-25,15.98967457,"fully vaccinated","case"
2021-05-02,11.46537228,"fully vaccinated","case"
2021-05-09,8.574761325,"fully vaccinated","case"
2021-05-16,7.292606748,"fully vaccinated","case"
2021-05-23,5.736668205,"fully vaccinated","case"
2021-05-30,5.141028089,"fully vaccinated","case"
2021-06-06,5.19057167,"fully vaccinated","case"
2021-06-13,5.438432335,"fully vaccinated","case"
2021-06-20,7.220768436,"fully vaccinated","case"
2021-06-27,11.04556018,"fully vaccinated","case"
2021-07-04,18.48788738,"fully vaccinated","case"
2021-07-11,33.63993835,"fully vaccinated","case"
2021-07-18,58.39782885,"fully vaccinated","case"
2021-07-25,88.29428495,"fully vaccinated","case"
2021-08-01,112.1479814,"fully vaccinated","case"
2021-08-08,122.7498664,"fully vaccinated","case"
2021-08-15,128.3088508,"fully vaccinated","case"
2021-08-22,132.0615953,"fully vaccinated","case"
2021-08-29,125.4784082,"fully vaccinated","case"
2021-09-05,113.1012979,"fully vaccinated","case"
2021-09-12,102.4493681,"fully vaccinated","case"
2021-09-19,87.84098312,"fully vaccinated","case"
2021-09-26,82.97084161,"fully vaccinated","case"
2021-10-03,77.66425169,"fully vaccinated","case"
2021-10-10,69.32257568,"fully vaccinated","case"
2021-10-17,65.30913674,"fully vaccinated","case"
2021-10-24,68.7723518,"fully vaccinated","case"
2021-10-31,78.34089861,"fully vaccinated","case"
2021-11-07,85.36868555,"fully vaccinated","case"
2021-11-14,92.34663458,"fully vaccinated","case"
2021-11-21,82.89861928,"fully vaccinated","case"
2021-11-28,123.852306,"fully vaccinated","case"
2021-12-05,113.359997,"fully vaccinated","case"
2021-12-12,207.1574417,"fully vaccinated","case"
2021-12-19,443.6895645,"fully vaccinated","case"
2021-04-04,0.14802466,"fully vaccinated","death"
2021-04-11,0.159363074,"fully vaccinated","death"
2021-04-18,0.132634061,"fully vaccinated","death"
